interaction_id,user_id,session_id,turn_index,timestamp,support_mode,fragment,fragment_word_count,pause_intervals,repetition_detected,camera_enabled,visible_objects,pointing_target,pointing_confidence,candidate_1,candidate_2,candidate_3,top1_before_learning,confirmed_text,user_feedback,reward,memory_similarity,learned_rank_score,policy_version,split
i_00000,user_01,user_01_s00,0,1700000000,prefer_not_to_say,I... um... drink...,3,0.9,0,0,,,0.0,I need my jacket.,I need my phone.,I need some water.,I need my jacket.,I need some water.,rejected,-1,0.076,0.423,1,train
i_00001,user_02,user_02_s00,0,1700000037,aphasia_word_finding,I need... go...,3,1.0;1.3,1,1,leave;keys,leave,0.74,I need my blanket.,I want to leave.,I need my keys.,I want to leave.,I want to leave.,accepted,1,0.148,0.666,1,train
i_00002,user_03,user_03_s00,0,1700000074,aphasia_word_finding,can we... black...,3,1.9;1.6,1,0,,,0.0,I need my phone.,I need my headphones.,I need my notebook.,I need my phone.,I need my phone.,accepted,1,0.075,0.423,1,train
i_00003,user_04,user_04_s00,0,1700000111,prefer_not_to_say,uh... crowd... crowd...,3,0.9;1.8,1,1,alone;jacket,,0.0,I need my notebook.,I want to be alone for a bit.,I need my jacket.,I need my notebook.,I want to be alone for a bit.,rejected,-1,0.145,0.444,1,train
i_00004,user_05,user_05_s00,0,1700000148,aac,can we... book...,3,2.4,0,0,,,0.0,I need my notebook.,I need my phone.,I need my glasses.,I need my glasses.,I need my notebook.,rejected,-1,0.131,0.439,1,train
i_00005,user_06,user_06_s00,0,1700000185,autism_neurodivergent,uh... black... black...,3,1.6;2.7,0,0,,,0.0,I need my phone.,I need my headphones.,I need my glasses.,I need my phone.,I need my phone.,accepted,1,0.119,0.436,1,train
i_00006,user_07,user_07_s00,0,1700000222,aphasia_word_finding,cable...,1,2.4,1,1,charger;notebook,charger,0.8,I need my notebook.,I need my charger.,I need my phone.,I need my charger.,I need my charger.,accepted,1,0.115,0.674,1,train
i_00007,user_08,user_08_s00,0,1700000259,cognitive_fatigue,I... um... tired...,3,0.9,0,1,break;glasses,,0.0,I need my glasses.,I need a break.,I need my charger.,I need my glasses.,I need a break.,rejected,-1,0.149,0.445,1,train
i_00008,user_09,user_09_s00,0,1700000296,autism_neurodivergent,can we... cup...,3,0.7,0,1,phone;water,,0.0,I need my tablet.,I need my phone.,I need some water.,I need my tablet.,I need some water.,rejected,-1,0.133,0.44,1,train
i_00009,user_10,user_10_s00,0,1700000333,autism_neurodivergent,I need... that... out...,4,1.8,0,0,,,0.0,I want to leave.,I need my headphones.,I need some water.,I need some water.,I want to leave.,rejected,-1,0.092,0.428,1,train
i_00010,user_11,user_11_s00,0,1700000370,aac,I need... people...,3,1.1,0,1,water;alone,,0.0,I want to be alone for a bit.,I need my tablet.,I need some water.,I want to be alone for a bit.,I want to be alone for a bit.,accepted,1,0.138,0.441,1,train
i_00011,user_12,user_12_s00,0,1700000407,aac,I need... soft...,3,2.6;2.6,0,1,notebook;blanket,,0.0,I need my blanket.,I need my keys.,I need my notebook.,I need my blanket.,I need my blanket.,accepted,1,0.12,0.436,1,train
i_00012,user_13,user_13_s00,0,1700000444,aac,I need... that... stuck...,4,0.9;2.5,0,1,keys;help,help,0.64,I need my charger.,I need help.,I need my keys.,I need my charger.,I need help.,rejected,-1,0.122,0.629,1,train
i_00013,user_14,user_14_s00,0,1700000481,cognitive_fatigue,uh... soft... soft...,3,2.2,1,1,blanket;water,,0.0,I need my blanket.,I need my phone.,I need some water.,I need my blanket.,I need my blanket.,accepted,1,0.086,0.426,1,train
i_00014,user_15,user_15_s00,0,1700000518,cognitive_fatigue,I need... that... people...,4,2.7,1,0,,,0.0,I need my charger.,I want to be alone for a bit.,I need my blanket.,I need my charger.,I want to be alone for a bit.,rejected,-1,0.142,0.443,1,train
i_00015,user_16,user_16_s00,0,1700000555,cognitive_fatigue,I want... that... door...,4,2.1;0.8,1,0,,,0.0,I need my keys.,I need some water.,I need my glasses.,I need my keys.,I need my keys.,accepted,1,0.104,0.431,1,train
i_00016,user_17,user_17_s00,0,1700000592,aphasia_word_finding,I want... that... stuck...,4,0.6;2.8,0,0,,,0.0,I need my headphones.,I need my notebook.,I need help.,I need my headphones.,I need help.,rejected,-1,0.136,0.441,1,train
i_00017,user_18,user_18_s00,0,1700000629,cognitive_fatigue,I need... screen...,3,2.0;1.8,0,0,,,0.0,I need my phone.,I need my blanket.,I need my tablet.,I need my phone.,I need my tablet.,rejected,-1,0.07,0.421,1,train
i_00018,user_19,user_19_s00,0,1700000666,aphasia_word_finding,can we... book...,3,2.0,0,1,headphones;notebook,,0.0,I need my headphones.,I need my notebook.,I need my charger.,I need my headphones.,I need my notebook.,rejected,-1,0.143,0.443,1,train
i_00019,user_20,user_20_s00,0,1700000703,prefer_not_to_say,cannot...,1,1.5;0.7,0,1,phone;help,help,0.69,I need my phone.,I need my charger.,I need help.,I need help.,I need help.,accepted,1,0.113,0.641,1,train
i_00020,user_21,user_21_s00,0,1700000740,aphasia_word_finding,much...,1,1.1;1.0,0,1,jacket;quiet,quiet,0.55,It is too loud.,I need my headphones.,I need my jacket.,It is too loud.,It is too loud.,accepted,1,0.053,0.581,1,train
i_00021,user_22,user_22_s00,0,1700000777,cognitive_fatigue,much...,1,1.5,0,0,,,0.0,I need my blanket.,I need my phone.,It is too loud.,I need my blanket.,It is too loud.,rejected,-1,0.09,0.427,1,train
i_00022,user_23,user_23_s00,0,1700000814,aac,I need... that... see...,4,2.6,0,1,charger;glasses,glasses,0.88,I need my glasses.,I need my charger.,I need my blanket.,I need my glasses.,I need my glasses.,accepted,1,0.131,0.703,1,train
i_00023,user_24,user_24_s00,0,1700000851,prefer_not_to_say,can you get... cable...,4,1.7,1,1,charger;headphones,,0.0,I need my charger.,I need my tablet.,I need my headphones.,I need my headphones.,I need my charger.,rejected,-1,0.052,0.416,1,train
i_00024,user_25,user_25_s00,0,1700000888,cognitive_fatigue,can you get... much...,4,1.1,0,0,,,0.0,It is too loud.,I need my notebook.,I need my blanket.,I need my notebook.,It is too loud.,rejected,-1,0.073,0.422,1,train
i_00025,user_26,user_26_s00,0,1700000925,cognitive_fatigue,uh... stuck... stuck...,3,2.0;2.1,0,0,,,0.0,I need my jacket.,I need help.,I need my headphones.,I need my jacket.,I need help.,rejected,-1,0.065,0.42,1,train
i_00026,user_27,user_27_s00,0,1700000962,prefer_not_to_say,uh... people... people...,3,1.6;2.3,0,0,,,0.0,I want to be alone for a bit.,I need my jacket.,I need my notebook.,I want to be alone for a bit.,I want to be alone for a bit.,accepted,1,0.102,0.431,1,train
i_00027,user_28,user_28_s00,0,1700000999,prefer_not_to_say,uh... loud... loud...,3,0.9,0,1,quiet;headphones,,0.0,I need my jacket.,It is too loud.,I need my headphones.,I need my jacket.,It is too loud.,rejected,-1,0.057,0.417,1,train
i_00028,user_29,user_29_s00,0,1700001036,aphasia_word_finding,can you get... cup...,4,1.4;1.3,0,1,water;glasses,water,0.61,I need some water.,I need my jacket.,I need my glasses.,I need some water.,I need some water.,accepted,1,0.123,0.62,1,train
i_00029,user_30,user_30_s00,0,1700001073,other,can you get... out...,4,1.4,0,0,,,0.0,I want to leave.,I need my headphones.,I need my phone.,I want to leave.,I want to leave.,accepted,1,0.089,0.427,1,train
i_00030,user_31,user_31_s00,0,1700001110,cognitive_fatigue,can you get... read...,4,2.3,0,0,,,0.0,I need my headphones.,I need my jacket.,I need my glasses.,I need my jacket.,I need my glasses.,rejected,-1,0.101,0.43,1,train
i_00031,user_32,user_32_s00,0,1700001147,cognitive_fatigue,metal...,1,1.7;2.6,0,0,,,0.0,I need my keys.,I need my headphones.,I need my notebook.,I need my keys.,I need my keys.,accepted,1,0.114,0.434,1,train
